,State,Year,Data
204,Alaska,1964,85067.0
205,Alabama,1964,979212.0
206,Arkansas,1964,527123.0
207,Arizona,1964,369663.0
208,California,1964,4219633.0
209,Colorado,1964,498054.0
210,Connecticut,1964,563507.0
211,District of Columbia,1964,132268.0
212,Delaware,1964,173156.0
213,Florida,1964,1049548.0
214,Georgia,1964,857040.0
215,Hawaii,1964,123433.0
216,Iowa,1964,669473.0
217,Idaho,1964,230412.0
218,Illinois,1964,2849301.0
219,Indiana,1964,1714801.0
220,Kansas,1964,657075.0
221,Kentucky,1964,890219.0
222,Louisiana,1964,1866221.0
223,Massachusetts,1964,1119625.0
224,Maryland,1964,823757.0
225,Maine,1964,242725.0
226,Michigan,1964,2140394.0
227,Minnesota,1964,816048.0
228,Missouri,1964,989314.0
229,Mississippi,1964,513324.0
230,Montana,1964,263813.0
231,North Carolina,1964,967053.0
232,North Dakota,1964,172006.0
233,Nebraska,1964,347076.0
234,New Hampshire,1964,133091.0
235,New Jersey,1964,1538414.0
236,New Mexico,1964,365774.0
237,Nevada,1964,133731.0
238,New York,1964,3382126.0
239,Ohio,1964,3215365.0
240,Oklahoma,1964,802725.0
241,Oregon,1964,578504.0
242,Pennsylvania,1964,3588928.0
243,Rhode Island,1964,178156.0
244,South Carolina,1964,560524.0
245,South Dakota,1964,143784.0
246,Tennessee,1964,1088445.0
247,Texas,1964,5012683.0
248,Utah,1964,334525.0
249,Virginia,1964,969280.0
250,Vermont,1964,72070.0
251,Washington,1964,961435.0
252,Wisconsin,1964,974857.0
253,West Virginia,1964,729022.0
254,Wyoming,1964,163391.0
255,Alaska,1965,87782.0
256,Alabama,1965,1044616.0
257,Arkansas,1965,528740.0
258,Arizona,1965,375200.0
259,California,1965,4385719.0
260,Colorado,1965,508687.0
261,Connecticut,1965,569505.0
262,District of Columbia,1965,159170.0
263,Delaware,1965,184269.0
264,Florida,1965,1111530.0
265,Georgia,1965,917174.0
266,Hawaii,1965,130560.0
267,Iowa,1965,696730.0
268,Idaho,1965,234742.0
269,Illinois,1965,3026466.0
270,Indiana,1965,1798393.0
271,Kansas,1965,723629.0
272,Kentucky,1965,899590.0
273,Louisiana,1965,1832996.0
274,Massachusetts,1965,1245258.0
275,Maryland,1965,859906.0
276,Maine,1965,232176.0
277,Michigan,1965,2278302.0
278,Minnesota,1965,865284.0
279,Missouri,1965,1043038.0
280,Mississippi,1965,511644.0
281,Montana,1965,258824.0
282,North Carolina,1965,1000435.0
283,North Dakota,1965,169405.0
284,Nebraska,1965,348616.0
285,New Hampshire,1965,131247.0
286,New Jersey,1965,1569751.0
287,New Mexico,1965,353197.0
288,Nevada,1965,130174.0
289,New York,1965,3664673.0
290,Ohio,1965,3369016.0
291,Oklahoma,1965,774367.0
292,Oregon,1965,591834.0
293,Pennsylvania,1965,3731977.0
294,Rhode Island,1965,173485.0
295,South Carolina,1965,554319.0
296,South Dakota,1965,140065.0
297,Tennessee,1965,1137343.0
298,Texas,1965,5212184.0
299,Utah,1965,339504.0
300,Virginia,1965,1046094.0
301,Vermont,1965,83090.0
302,Washington,1965,996454.0
303,Wisconsin,1965,1030533.0
304,West Virginia,1965,753923.0
305,Wyoming,1965,172698.0
306,Alaska,1966,102696.0
307,Alabama,1966,1088204.0
308,Arkansas,1966,566110.0
309,Arizona,1966,403460.0
310,California,1966,4645217.0
311,Colorado,1966,531922.0
312,Connecticut,1966,609289.0
313,District of Columbia,1966,169525.0
314,Delaware,1966,192519.0
315,Florida,1966,1180231.0
316,Georgia,1966,997589.0
317,Hawaii,1966,145474.0
318,Iowa,1966,698683.0
319,Idaho,1966,245066.0
320,Illinois,1966,3185513.0
321,Indiana,1966,1919366.0
322,Kansas,1966,763521.0
323,Kentucky,1966,905831.0
324,Louisiana,1966,1973892.0
325,Massachusetts,1966,1247984.0
326,Maryland,1966,900300.0
327,Maine,1966,244258.0
328,Michigan,1966,2430278.0
329,Minnesota,1966,922187.0
330,Missouri,1966,1102147.0
331,Mississippi,1966,566410.0
332,Montana,1966,275598.0
333,North Carolina,1966,1089558.0
334,North Dakota,1966,180786.0
335,Nebraska,1966,389146.0
336,New Hampshire,1966,144764.0
337,New Jersey,1966,1667786.0
338,New Mexico,1966,375974.0
339,Nevada,1966,144957.0
340,New York,1966,3867170.0
341,Ohio,1966,3539868.0
342,Oklahoma,1966,744879.0
343,Oregon,1966,630433.0
344,Pennsylvania,1966,3831882.0
345,Rhode Island,1966,175290.0
346,South Carolina,1966,593446.0
347,South Dakota,1966,146362.0
348,Tennessee,1966,1231562.0
349,Texas,1966,5557255.0
350,Utah,1966,350834.0
351,Virginia,1966,1116959.0
352,Vermont,1966,90907.0
353,Washington,1966,1058961.0
354,Wisconsin,1966,1091996.0
355,West Virginia,1966,771519.0
356,Wyoming,1966,180286.0
357,Alaska,1967,115172.0
358,Alabama,1967,1138573.0
359,Arkansas,1967,596737.0
360,Arizona,1967,414501.0
361,California,1967,4841003.0
362,Colorado,1967,555487.0
363,Connecticut,1967,624114.0
364,District of Columbia,1967,182216.0
365,Delaware,1967,187575.0
366,Florida,1967,1223737.0
367,Georgia,1967,1062811.0
368,Hawaii,1967,163865.0
369,Iowa,1967,747574.0
370,Idaho,1967,266750.0
371,Illinois,1967,3315076.0
372,Indiana,1967,1952042.0
373,Kansas,1967,722888.0
374,Kentucky,1967,953994.0
375,Louisiana,1967,2236542.0
376,Massachusetts,1967,1326492.0
377,Maryland,1967,915531.0
378,Maine,1967,256811.0
379,Michigan,1967,2490875.0
380,Minnesota,1967,929413.0
381,Missouri,1967,1132505.0
382,Mississippi,1967,579960.0
383,Montana,1967,260368.0
384,North Carolina,1967,1137963.0
385,North Dakota,1967,185106.0
386,Nebraska,1967,385223.0
387,New Hampshire,1967,149526.0
388,New Jersey,1967,1768292.0
389,New Mexico,1967,407731.0
390,Nevada,1967,150718.0
391,New York,1967,3955831.0
392,Ohio,1967,3543981.0
393,Oklahoma,1967,763519.0
394,Oregon,1967,646405.0
395,Pennsylvania,1967,3816103.0
396,Rhode Island,1967,193450.0
397,South Carolina,1967,603092.0
398,South Dakota,1967,145670.0
399,Tennessee,1967,1236057.0
400,Texas,1967,5879030.0
401,Utah,1967,345267.0
402,Virginia,1967,1137190.0
403,Vermont,1967,94557.0
404,Washington,1967,1112762.0
405,Wisconsin,1967,1137123.0
406,West Virginia,1967,739838.0
407,Wyoming,1967,205150.0
408,Alaska,1968,122533.0
409,Alabama,1968,1246669.0
410,Arkansas,1968,635396.0
411,Arizona,1968,456156.0
412,California,1968,5115122.0
413,Colorado,1968,622770.0
414,Connecticut,1968,648770.0
415,District of Columbia,1968,181890.0
416,Delaware,1968,206901.0
417,Florida,1968,1349462.0
418,Georgia,1968,1154038.0
419,Hawaii,1968,182799.0
420,Iowa,1968,781902.0
421,Idaho,1968,287248.0
422,Illinois,1968,3450826.0
423,Indiana,1968,2043409.0
424,Kansas,1968,793842.0
425,Kentucky,1968,1014155.0
426,Louisiana,1968,2422111.0
427,Massachusetts,1968,1373613.0
428,Maryland,1968,968996.0
429,Maine,1968,271194.0
430,Michigan,1968,2627315.0
431,Minnesota,1968,991475.0
432,Missouri,1968,1211237.0
433,Mississippi,1968,645521.0
434,Montana,1968,280467.0
435,North Carolina,1968,1211104.0
436,North Dakota,1968,191968.0
437,Nebraska,1968,422750.0
438,New Hampshire,1968,159459.0
439,New Jersey,1968,1841016.0
440,New Mexico,1968,436306.0
441,Nevada,1968,163400.0
442,New York,1968,4052442.0
443,Ohio,1968,3710053.0
444,Oklahoma,1968,843549.0
445,Oregon,1968,691620.0
446,Pennsylvania,1968,3959290.0
447,Rhode Island,1968,197936.0
448,South Carolina,1968,654373.0
449,South Dakota,1968,153321.0
450,Tennessee,1968,1284591.0
451,Texas,1968,6268911.0
452,Utah,1968,365623.0
453,Virginia,1968,1197529.0
454,Vermont,1968,100490.0
455,Washington,1968,1210234.0
456,Wisconsin,1968,1184174.0
457,West Virginia,1968,807461.0
458,Wyoming,1968,225588.0
459,Alaska,1969,156631.0
460,Alabama,1969,1343138.0
461,Arkansas,1969,681052.0
462,Arizona,1969,498192.0
463,California,1969,5356783.0
464,Colorado,1969,648877.0
465,Connecticut,1969,667657.0
466,District of Columbia,1969,195629.0
467,Delaware,1969,219454.0
468,Florida,1969,1453793.0
469,Georgia,1969,1228189.0
470,Hawaii,1969,190862.0
471,Iowa,1969,821912.0
472,Idaho,1969,286782.0
473,Illinois,1969,3634712.0
474,Indiana,1969,2157093.0
475,Kansas,1969,839336.0
476,Kentucky,1969,1073330.0
477,Louisiana,1969,2701453.0
478,Massachusetts,1969,1402415.0
479,Maryland,1969,1023972.0
480,Maine,1969,288283.0
481,Michigan,1969,2734264.0
482,Minnesota,1969,1081915.0
483,Missouri,1969,1265602.0
484,Mississippi,1969,684793.0
485,Montana,1969,314298.0
486,North Carolina,1969,1281029.0
487,North Dakota,1969,192560.0
488,Nebraska,1969,455912.0
489,New Hampshire,1969,176217.0
490,New Jersey,1969,1896202.0
491,New Mexico,1969,429135.0
492,Nevada,1969,176999.0
493,New York,1969,4200652.0
494,Ohio,1969,3856077.0
495,Oklahoma,1969,886447.0
496,Oregon,1969,733064.0
497,Pennsylvania,1969,3982119.0
498,Rhode Island,1969,210703.0
499,South Carolina,1969,699204.0
