State,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
Maine,59784,56575,55672,58874,55936,51675,55812,58337,59840,61658,59420,55423,59882,64648,64263,60423,70099,72689,74889,76896,121124,129782,126910,140252,139329,136042,122771,116377,118029,154425,151630,157261,159035,158153,156736,160885,167218,161828,151240,159186,163025,146146,140385,132344,136769,159674,152339,155620,182576,148204,158991,161551,157320,161662,157402,161374,142003,152720
Michigan,59100,55209,53745,51374,52769,55858,56828,56539,56320,56624,54309,53960,56203,47225,50587,47458,52481,54719,66270,73877,103039,108231,107422,117776,110270,110639,113125,112079,118354,111822,97986,105361,108477,100474,102457,105715,122454,113741,105953,107946,110506,94158,89210,103312,108765,116821,117111,132121,145004,131134,147388,161900,161289,187710,201936,221437,214332,229236
Minnesota,34957,32478,34382,32328,33210,34786,35031,32385,33828,34190,32822,33768,35695,36452,35899,36949,35632,36725,50237,53947,54794,56592,58930,62650,66000,66473,63838,58913,60210,63542,59880,63243,69504,70105,72105,76096,80512,83512,80517,95416,103427,108951,107216,113752,125488,140390,157168,179232,215093,258579,294856,306313,302196,299308,338225,337359,343924,359770
Missouri,41442,45068,40239,33299,31229,35404,33010,31558,39086,39601,33344,30407,29355,43807,44031,40414,39537,37981,49657,55940,30880,30527,43880,44037,47028,62419,49316,40796,43057,36263,40959,30538,34756,49981,35896,36252,30767,30753,37398,32497,21679,32926,35225,31603,40841,52353,42464,60591,81692,93684,100502,92915,81615,93586,92706,86217,82217,90657
Mississippi,46565,45532,44673,39154,38448,37759,37816,34261,35452,34609,33527,32841,32432,32195,31279,31152,34819,36230,37576,37510,38097,41070,44643,45071,50468,50892,49196,45439,47412,76403,84868,89510,90830,92435,94862,94192,85740,84291,64175,65132,75389,56085,49641,45346,61251,62678,63073,63587,47430,53654,65115,65786,77009,59580,60846,58853,70822,67018
Montana,69936,76550,74894,70429,79375,95505,90332,98163,100651,106143,98397,107251,104348,84637,106573,112007,135822,97331,132188,119406,114608,131005,126659,135686,130528,120930,133914,111156,103886,110933,123487,142368,95906,108980,94511,127550,158574,153337,128313,157031,113793,80568,108642,100370,101507,113989,122240,117750,123131,113797,114783,140363,124377,114499,134146,125018,128174,135969
North Carolina,127507,120692,127402,116481,131745,123608,114335,118616,117146,119495,111796,128148,135756,142789,139607,139828,136973,146565,159172,191639,135910,108155,143303,149635,159880,136770,114112,134887,115314,167662,168721,137282,159698,157307,186807,168712,171371,164819,159627,139731,136234,127348,125225,181552,139795,145275,136626,112691,142703,148501,157297,155603,152791,191664,173371,169752,199156,217876
North Dakota,11880,15420,14054,15915,20014,26438,20421,29255,26339,31071,29922,34285,32507,25135,28922,35262,34411,21338,31963,28886,28555,26037,30380,29454,30082,28393,30017,26159,25131,25388,22169,23205,22246,19321,24581,30985,36360,38466,28369,31608,27268,20662,23405,26158,25922,23400,26086,40688,52893,82230,112921,132923,126746,124088,138189,143323,161292,197466
Nebraska,13425,12832,12973,13199,12801,13563,13955,13879,14714,14532,15950,15845,16822,16912,16161,15399,16378,16136,16096,16832,19778,17814,19000,20038,21233,23754,25882,23743,21759,20344,18296,17612,19619,22322,29349,46923,53332,62387,64577,67772,67458,70152,70412,73956,91627,94833,103063,129778,176747,178644,269110,301952,277782,281464,288402,311010,323506,359399
New Hampshire,25629,23327,25119,24450,23707,22019,24343,24089,25155,27816,25321,24733,26131,30671,28694,25853,31050,31271,31004,33548,32382,36067,33759,38209,35004,33807,38742,34985,36549,40566,46824,40894,42211,42448,40356,39480,47633,42282,40585,38906,38620,30186,28896,29849,34923,41289,33103,34804,39884,45367,45146,46133,44473,52696,55352,61080,55963,59271
New Jersey,20514,20749,21199,23397,23947,23693,23570,23695,24678,25354,25906,26621,29554,30289,33097,30950,35091,38510,41662,43101,48383,54409,49211,60308,48816,49683,41534,38592,41856,34878,26140,35990,38620,37006,41458,43246,41258,39319,38853,39895,40323,29060,28701,26718,27098,19644,21755,20419,23182,33864,37292,38875,43627,49545,54088,44010,45313,47987
New Mexico,7373,6937,6791,6469,6300,6075,6210,5678,5706,5682,5548,4965,4746,4896,4919,6002,6781,7328,7989,9922,6223,7850,8425,9739,10332,10998,11713,8882,8485,9275,8336,9139,9255,9667,8601,9073,7587,9025,8466,8965,9203,8027,8690,9554,12326,24068,29371,32736,35347,30999,34549,37067,38061,39658,41845,38810,54886,67517
Nevada,22110,19545,21733,19804,17842,17544,19632,18985,19142,18771,18322,18651,17274,18356,17762,18827,17457,18381,18980,19804,27403,21794,18709,47192,63057,49982,52098,28499,23919,30236,29668,38961,36827,40587,39090,40326,43110,48280,53115,48981,44738,43412,39422,33579,34322,34475,38315,37695,37854,46712,48923,50232,56557,66491,67475,75367,88596,98186
New York,189314,250832,277979,260059,247409,262743,288582,301664,320307,339647,325491,326609,347985,364685,362988,354900,368500,342161,354864,368358,404671,413896,397442,435889,409565,415540,429134,400041,365628,379021,390950,379052,395108,421298,409236,391266,439291,491158,458812,419145,429207,350749,363961,357373,358879,365542,378627,363738,399128,369894,366880,404215,364204,382017,401200,412364,414741,450661
Ohio,36966,36414,36983,38172,38010,38720,41531,39669,43465,44467,44149,43520,44940,46607,48408,46299,52843,58582,69632,74657,107374,112930,115117,131120,128095,130618,117706,122283,127664,106704,74714,80207,76310,53768,79948,72219,78957,74189,67210,74350,79331,51102,38156,47969,51268,54495,55366,56552,106536,94868,122121,130880,133121,149653,158948,153704,151416,153613
Oklahoma,17766,20187,16660,10640,11373,16230,13064,14604,23406,26940,21730,21321,26724,50756,48830,42644,29303,32743,37416,46806,24855,23520,36159,39240,39702,57000,45180,45998,37117,50344,49914,41216,53293,67957,50125,53290,51673,55183,60591,55318,47389,48390,40915,41954,62058,61329,50325,74304,73670,79395,94855,99265,119647,161105,159107,183713,239124,263497
Oregon,190489,188915,197646,199225,215793,230410,232649,243110,271743,350230,371350,419311,435930,351043,432867,417387,434370,327769,408647,387287,401129,428803,561110,574196,590527,529624,532746,477093,470568,481678,487410,484638,374214,414153,367996,467164,517451,530595,454349,509832,436666,349949,400635,384479,384623,364066,433011,396905,414463,415648,399550,518190,499340,462978,484169,438006,467465,494569
Pennsylvania,66100,61121,61767,60798,60590,61262,63676,68253,62881,61805,67525,60573,70114,70871,72077,73865,81184,84322,90536,106837,136826,147662,149605,167142,152019,148238,117214,108025,108182,98078,91855,90246,107587,104764,112111,113291,131090,114660,110545,109245,113589,95727,96600,109944,110368,104192,107197,105172,114904,126256,158384,180128,167209,197054,195875,199452,193215,201490
Rhode Island,2951,3011,3139,3221,3533,3561,3771,4150,4266,4428,5268,4851,4934,5108,5023,4050,4704,5295,6577,7124,7287,6645,6053,7401,4946,5081,4653,3302,3528,3806,4499,4585,4840,5181,5066,5079,5562,4347,4197,4403,4520,3899,3700,3787,3846,879,2631,2781,2947,3544,3704,3653,2934,2658,4381,4793,4579,5816
South Carolina,81969,76284,73455,69832,87558,77346,67699,66176,69381,73251,65064,78568,77077,83883,79895,87805,83353,80884,83872,91528,71184,52168,69144,75398,80275,66594,89782,95655,82436,97057,106105,107666,110649,110225,114631,124701,131794,131983,129956,96967,92462,70574,80639,103796,97431,104205,98610,94997,92008,102995,115289,116354,118029,133966,136701,128290,131055,130212
South Dakota,13974,13609,17252,31784,33645,41595,51565,52576,59858,67419,70185,82558,78339,51534,60394,83960,74830,57133,72806,67819,63775,58574,60267,61572,63771,59844,64005,59702,59484,52343,44413,43560,41061,30241,57086,66206,86847,95920,62841,72609,62868,41313,55199,67639,83757,93723,114665,115498,144310,179345,214651,237405,217909,209519,222713,217615,226440,225550
Tennessee,138708,136653,145125,127030,141564,138006,128629,147297,132020,131914,138417,153090,173103,177886,180418,177299,160069,176225,163042,207250,160372,136647,184404,190439,203804,167034,156686,175575,149034,205580,165785,180359,170092,153217,186212,165142,176855,164091,161573,134427,123662,142349,153221,190000,185184,167074,143514,115271,133932,179058,168470,184654,173097,216816,186218,189204,159629,176274
Texas,50155,52023,47721,42718,43884,48967,51980,49944,62939,64351,62757,60471,67560,78102,76691,75872,75965,82566,84175,89721,65819,70520,80452,75817,87064,93532,110360,116905,108936,125459,115294,120330,133852,117228,114097,117889,110535,122666,110071,93994,96071,96535,121028,115457,120813,137517,152232,191764,298470,295329,392977,440763,452930,476268,529818,567922,691225,786173
Utah,5494,4591,6192,5699,10151,11501,10173,13266,12791,13957,10079,12615,15234,14683,12440,14074,14974,11709,12093,13634,13025,12388,16757,21168,21624,18680,22999,14262,11778,11676,10774,12553,12378,14575,13808,15540,17160,20402,19503,20361,15405,10816,10879,10252,10581,13607,13202,11031,13953,15951,17678,24387,20555,17050,21559,23983,36584,53343
Virginia,69706,66456,67678,64267,63580,63439,64055,61774,63863,64159,62711,66364,70488,69214,66085,66861,76045,73803,86397,95181,85571,79291,93492,95860,102908,99955,83623,85820,78435,96553,104855,106699,110242,119272,122634,126481,136360,123587,123068,120213,114065,92832,77071,104204,110813,126819,118780,116779,117389,114854,110535,104678,102113,117964,136422,138276,139697,138386
Vermont,17339,15369,15682,13995,13500,14396,15557,15167,15086,16109,14717,14594,15955,17149,16134,16361,19325,19373,20504,22340,22881,24825,22667,26554,26036,26890,23871,23132,21704,20018,19484,17310,16014,18238,19068,19167,21867,19949,20290,20800,21389,17341,22714,24054,22040,24325,27595,18652,27030,31572,32420,30555,26308,33314,32831,38784,35725,38044
Washington,428129,455762,476680,514264,557343,581530,617245,678045,736245,772827,796121,817275,854559,783243,926539,935362,1051188,773465,1002202,900631,951633,1074488,1008273,1005126,982001,917722,943292,850801,835492,855589,1004344,1007480,803146,791624,773994,942015,1109139,1158984,901989,1081815,908860,659060,887900,829196,817635,807731,928254,883154,879243,832048,821250,1058845,1016868,921960,934976,865077,922592,942447
Wisconsin,64968,60619,61695,55114,54980,61690,60892,61003,65830,62804,58313,61793,65646,67818,65621,66067,69570,74518,90777,92876,187312,196641,195431,217656,215468,217765,161718,152842,157160,123657,102565,108259,108919,104600,106756,111558,123860,123191,108155,114212,113325,121849,101548,115460,108745,144880,144626,148505,176510,170788,207825,205632,195099,203268,213404,215710,216096,215300
West Virginia,23464,23666,23755,21029,21666,20560,20101,22471,21573,21430,21152,22281,24771,24229,23779,22798,24758,24320,27252,33875,23421,22022,25803,23389,25619,25050,31416,28499,29016,25599,18512,16399,18470,18459,18699,19453,22037,17582,16211,14808,17379,14725,15137,19809,19228,28331,28268,26006,29247,45048,45978,47220,44878,53863,50019,37953,39714,41831
Wyoming,8174,8273,11746,10641,10613,10793,11106,9641,11560,12992,12129,15331,13492,14024,16196,13226,12547,9937,12774,13906,14250,12117,12241,15778,17197,14997,16232,11117,11398,10449,9451,10494,8786,10208,11936,10703,14832,16423,15921,14339,15236,14909,12630,12064,14434,19105,19351,18322,21703,34009,44696,60191,53505,52908,54028,49730,54591,55968
