,State,Year,Data
238,New York,1964,247409
239,Ohio,1964,38010
240,Oklahoma,1964,11373
241,Oregon,1964,215793
242,Pennsylvania,1964,60590
243,Rhode Island,1964,3533
244,South Carolina,1964,87558
245,South Dakota,1964,33645
246,Tennessee,1964,141564
247,Texas,1964,43884
248,Utah,1964,10151
249,Virginia,1964,63580
250,Vermont,1964,13500
251,Washington,1964,557343
252,Wisconsin,1964,54980
253,West Virginia,1964,21666
254,Wyoming,1964,10613
255,Alaska,1965,8519
256,Alabama,1965,121888
257,Arkansas,1965,46425
258,Arizona,1965,50095
259,California,1965,418518
260,Colorado,1965,16369
261,Connecticut,1965,15500
262,District of Columbia,1965,120
263,Delaware,1965,5577
264,Florida,1965,39916
265,Georgia,1965,108022
266,Hawaii,1965,1265
267,Iowa,1965,15160
268,Idaho,1965,79778
269,Illinois,1965,35036
270,Indiana,1965,23060
271,Kansas,1965,3499
272,Kentucky,1965,47438
273,Louisiana,1965,38299
274,Massachusetts,1965,55636
275,Maryland,1965,39019
276,Maine,1965,51675
277,Michigan,1965,55858
278,Minnesota,1965,34786
279,Missouri,1965,35404
280,Mississippi,1965,37759
281,Montana,1965,95505
282,North Carolina,1965,123608
283,North Dakota,1965,26438
284,Nebraska,1965,13563
285,New Hampshire,1965,22019
286,New Jersey,1965,23693
287,New Mexico,1965,6075
288,Nevada,1965,17544
289,New York,1965,262743
290,Ohio,1965,38720
291,Oklahoma,1965,16230
292,Oregon,1965,230410
293,Pennsylvania,1965,61262
294,Rhode Island,1965,3561
295,South Carolina,1965,77346
296,South Dakota,1965,41595
297,Tennessee,1965,138006
298,Texas,1965,48967
299,Utah,1965,11501
300,Virginia,1965,63439
301,Vermont,1965,14396
302,Washington,1965,581530
303,Wisconsin,1965,61690
304,West Virginia,1965,20560
305,Wyoming,1965,10793
306,Alaska,1966,8328
307,Alabama,1966,121238
308,Arkansas,1966,51697
309,Arizona,1966,58060
310,California,1966,375877
311,Colorado,1966,17380
