,State,Year,Produced Renewable(Billion Btu),Total Consumed(Billion Btu),GDP(Million dollars),Population(Thousand),Energy Price(dollars per million btu)
93,Tennessee,1971,153090.0,1371116.0,0.0,4014.0,1.9
94,Texas,1971,60471.0,7233774.0,0.0,11510.0,1.33
95,Utah,1971,12615.0,415199.0,0.0,1101.0,1.39
96,Virginia,1971,66364.0,1322363.0,0.0,4751.0,1.88
97,Vermont,1971,14594.0,116968.0,0.0,454.0,2.52
98,Washington,1971,817275.0,1320979.0,0.0,3448.0,1.64
99,Wisconsin,1971,61793.0,1293197.0,0.0,4462.0,1.86
100,West Virginia,1971,22281.0,779534.0,0.0,1771.0,1.31
101,Wyoming,1971,15331.0,268453.0,0.0,340.0,1.5
102,Alaska,1972,8673.0,214377.0,0.0,324.0,1.55
103,Alabama,1972,164946.0,1478039.0,0.0,3539.0,1.61
104,Arkansas,1972,53917.0,744634.0,0.0,2019.0,1.69
105,Arizona,1972,75189.0,616452.0,0.0,2008.0,2.14
106,California,1972,472312.0,5872011.0,0.0,20585.0,1.91
107,Colorado,1972,22935.0,756325.0,0.0,2405.0,1.67
108,Connecticut,1972,22712.0,717611.0,0.0,3069.0,2.5
109,District of Columbia,1972,118.0,188830.0,0.0,742.0,2.15
110,Delaware,1972,8190.0,232526.0,0.0,573.0,2.03
111,Florida,1972,54389.0,1804005.0,0.0,7511.0,2.57
112,Georgia,1972,114745.0,1435584.0,0.0,4809.0,2.04
113,Hawaii,1972,1491.0,218057.0,0.0,828.0,1.89
114,Iowa,1972,17235.0,904471.0,0.0,2860.0,2.0
115,Idaho,1972,92776.0,334033.0,0.0,763.0,1.82
116,Illinois,1972,41490.0,3929667.0,0.0,11252.0,1.86
117,Indiana,1972,30826.0,2435885.0,0.0,5302.0,1.54
118,Kansas,1972,5702.0,961171.0,0.0,2256.0,1.59
119,Kentucky,1972,66566.0,1203074.0,0.0,3336.0,1.84
120,Louisiana,1972,44819.0,3083286.0,0.0,3762.0,1.06
121,Massachusetts,1972,59302.0,1546466.0,0.0,5760.0,2.17
122,Maryland,1972,56117.0,1122760.0,0.0,4073.0,2.07
123,Maine,1972,59882.0,380418.0,0.0,1034.0,1.78
124,Michigan,1972,56203.0,2970324.0,0.0,9029.0,1.83
125,Minnesota,1972,35695.0,1209799.0,0.0,3870.0,1.97
126,Missouri,1972,29355.0,1383498.0,0.0,4759.0,2.02
127,Mississippi,1972,32432.0,830744.0,0.0,2307.0,1.91
128,Montana,1972,104348.0,342383.0,0.0,719.0,1.62
129,North Carolina,1972,135756.0,1480269.0,0.0,5301.0,2.23
130,North Dakota,1972,32507.0,203742.0,0.0,631.0,2.02
131,Nebraska,1972,16822.0,509525.0,0.0,1519.0,1.84
132,New Hampshire,1972,26131.0,212305.0,0.0,781.0,2.29
133,New Jersey,1972,29554.0,2079998.0,0.0,7335.0,2.27
134,New Mexico,1972,4746.0,501736.0,0.0,1079.0,1.59
135,Nevada,1972,17274.0,217655.0,0.0,547.0,2.06
136,New York,1972,347985.0,4269847.0,0.0,18339.0,2.18
137,Ohio,1972,44940.0,4125705.0,0.0,10747.0,1.71
138,Oklahoma,1972,26724.0,1019204.0,0.0,2659.0,1.95
139,Oregon,1972,435930.0,837435.0,0.0,2197.0,1.92
140,Pennsylvania,1972,70114.0,4187795.0,0.0,11908.0,1.76
141,Rhode Island,1972,4934.0,236763.0,0.0,975.0,2.16
142,South Carolina,1972,77077.0,834960.0,0.0,2719.0,2.08
143,South Dakota,1972,78339.0,179190.0,0.0,677.0,2.09
144,Tennessee,1972,173103.0,1473992.0,0.0,4095.0,1.91
145,Texas,1972,67560.0,7623194.0,0.0,11759.0,1.4
146,Utah,1972,15234.0,428177.0,0.0,1135.0,1.47
147,Virginia,1972,70488.0,1375395.0,0.0,4824.0,1.99
148,Vermont,1972,15955.0,123917.0,0.0,463.0,2.64
149,Washington,1972,854559.0,1462402.0,0.0,3448.0,1.64
150,Wisconsin,1972,65646.0,1287690.0,0.0,4502.0,2.0
151,West Virginia,1972,24771.0,828980.0,0.0,1798.0,1.38
152,Wyoming,1972,13492.0,286868.0,0.0,347.0,1.33
153,Alaska,1973,7844.0,196965.0,0.0,331.0,1.68
154,Alabama,1973,181706.0,1527209.0,0.0,3580.0,1.84
155,Arkansas,1973,81723.0,820083.0,0.0,2059.0,1.81
156,Arizona,1973,79348.0,670117.0,0.0,2124.0,2.34
157,California,1973,553162.0,6047069.0,0.0,20869.0,2.13
158,Colorado,1973,23623.0,801930.0,0.0,2496.0,1.85
159,Connecticut,1973,21870.0,743064.0,0.0,3068.0,2.76
160,District of Columbia,1973,114.0,193442.0,0.0,731.0,2.38
161,Delaware,1973,8483.0,246392.0,0.0,578.0,2.2
162,Florida,1973,56250.0,1995319.0,0.0,7914.0,2.8
163,Georgia,1973,125605.0,1555110.0,0.0,4910.0,2.2
164,Hawaii,1973,1528.0,224312.0,0.0,852.0,2.16
165,Iowa,1973,16691.0,962796.0,0.0,2864.0,2.16
166,Idaho,1973,97216.0,337008.0,0.0,782.0,2.04
167,Illinois,1973,43861.0,4019481.0,0.0,11251.0,2.09
168,Indiana,1973,32102.0,2474472.0,0.0,5338.0,1.75
169,Kansas,1973,6031.0,966322.0,0.0,2266.0,1.86
170,Kentucky,1973,67629.0,1236974.0,0.0,3371.0,2.06
171,Louisiana,1973,45748.0,3317510.0,0.0,3788.0,1.17
172,Massachusetts,1973,56501.0,1581551.0,0.0,5781.0,2.41
173,Maryland,1973,55059.0,1214593.0,0.0,4098.0,2.18
174,Maine,1973,64648.0,378940.0,0.0,1046.0,1.97
175,Michigan,1973,47225.0,3060405.0,0.0,9078.0,2.07
176,Minnesota,1973,36452.0,1257708.0,0.0,3889.0,2.12
177,Missouri,1973,43807.0,1418725.0,0.0,4783.0,2.23
178,Mississippi,1973,32195.0,847974.0,0.0,2350.0,2.08
179,Montana,1973,84637.0,347660.0,0.0,727.0,1.83
180,North Carolina,1973,142789.0,1551096.0,0.0,5390.0,2.45
181,North Dakota,1973,25135.0,202197.0,0.0,633.0,2.4
182,Nebraska,1973,16912.0,522129.0,0.0,1530.0,2.02
183,New Hampshire,1973,30671.0,216617.0,0.0,801.0,2.57
184,New Jersey,1973,30289.0,2122047.0,0.0,7333.0,2.5
185,New Mexico,1973,4896.0,477784.0,0.0,1106.0,1.89
186,Nevada,1973,18356.0,233459.0,0.0,569.0,2.25
187,New York,1973,364685.0,4419080.0,0.0,18177.0,2.41
188,Ohio,1973,46607.0,4218370.0,0.0,10767.0,1.84
189,Oklahoma,1973,50756.0,1024152.0,0.0,2696.0,2.15
190,Oregon,1973,351043.0,854962.0,0.0,2242.0,2.07
191,Pennsylvania,1973,70871.0,4294356.0,0.0,11891.0,1.9
192,Rhode Island,1973,5108.0,231946.0,0.0,976.0,2.44
193,South Carolina,1973,83883.0,886118.0,0.0,2777.0,2.28
194,South Dakota,1973,51534.0,176823.0,0.0,679.0,2.48
195,Tennessee,1973,177886.0,1614086.0,0.0,4147.0,2.05
196,Texas,1973,78102.0,8241366.0,0.0,12020.0,1.48
197,Utah,1973,14683.0,457776.0,0.0,1170.0,1.6
198,Virginia,1973,69214.0,1435070.0,0.0,4901.0,2.21
199,Vermont,1973,17149.0,126434.0,0.0,468.0,2.86
200,Washington,1973,783243.0,1498556.0,0.0,3479.0,1.79
201,Wisconsin,1973,67818.0,1354483.0,0.0,4524.0,2.26
202,West Virginia,1973,24229.0,845774.0,0.0,1806.0,1.5
203,Wyoming,1973,14024.0,283507.0,0.0,354.0,1.59
204,Alaska,1974,8329.0,201488.0,0.0,341.0,2.46
205,Alabama,1974,166734.0,1547657.0,0.0,3626.0,2.5
206,Arkansas,1974,81339.0,798333.0,0.0,2101.0,2.49
207,Arizona,1974,82058.0,676309.0,0.0,2223.0,3.12
208,California,1974,645073.0,5816324.0,0.0,21174.0,3.03
209,Colorado,1974,24207.0,787106.0,0.0,2541.0,2.49
210,Connecticut,1974,22509.0,714126.0,0.0,3074.0,4.12
211,District of Columbia,1974,129.0,171284.0,0.0,718.0,3.71
212,Delaware,1974,8466.0,228887.0,0.0,581.0,3.41
213,Florida,1974,52429.0,1929045.0,0.0,8299.0,3.97
214,Georgia,1974,121581.0,1495568.0,0.0,4999.0,3.11
215,Hawaii,1974,1550.0,212103.0,0.0,868.0,3.14
216,Iowa,1974,16976.0,949663.0,0.0,2868.0,2.71
217,Idaho,1974,111472.0,347813.0,0.0,808.0,2.65
218,Illinois,1974,43952.0,3956458.0,0.0,11262.0,2.77
219,Indiana,1974,32017.0,2432022.0,0.0,5362.0,2.43
220,Kansas,1974,5915.0,959652.0,0.0,2269.0,2.46
221,Kentucky,1974,66669.0,1228332.0,0.0,3416.0,2.75
222,Louisiana,1974,44928.0,3408243.0,0.0,3820.0,1.78
223,Massachusetts,1974,56959.0,1475055.0,0.0,5774.0,3.69
224,Maryland,1974,52381.0,1123057.0,0.0,4119.0,3.39
225,Maine,1974,64263.0,354413.0,0.0,1059.0,3.2
226,Michigan,1974,50587.0,2916310.0,0.0,9118.0,2.9
227,Minnesota,1974,35899.0,1237566.0,0.0,3904.0,2.83
228,Missouri,1974,44031.0,1399043.0,0.0,4796.0,2.91
229,Mississippi,1974,31279.0,817314.0,0.0,2378.0,2.85
230,Montana,1974,106573.0,351944.0,0.0,736.0,2.47
231,North Carolina,1974,139607.0,1501847.0,0.0,5471.0,3.49
232,North Dakota,1974,28922.0,204358.0,0.0,635.0,3.12
233,Nebraska,1974,16161.0,518540.0,0.0,1539.0,2.57
234,New Hampshire,1974,28694.0,206500.0,0.0,816.0,3.84
